시군구,행정동,어린이집_가중치,학급당학생수_가중치,가중치_합산
부평구,부평6동,0.00376051,0.033969228,0.037729738
안양시 동안구,부흥동,0.007041985,0.04975068,0.056792665
서대문구,북가좌1동,0.004,0.036465717,0.040465717
서대문구,북가좌2동,0.004265896,0.0,0.004265896
옹진군,북도면,0.082,0.004118149,0.086118149
서대문구,북아현동,0.004044843,0.030267061,0.034311904000000004
성남시 분당구,분당동,0.002950525,0.042921965,0.04587249
은평구,불광1동,0.004835381,0.028553628,0.033389009
은평구,불광2동,0.003738602,0.030067638,0.03380624
서구,불로대곡동,0.002630189,0.042859737,0.045489926
강화군,불은면,0.003967742,0.011543298,0.01551104
안양시 동안구,비산1동,0.002064336,0.044343803,0.046408139
안양시 동안구,비산2동,0.003406154,0.0407422,0.044148354
안양시 동안구,비산3동,0.001880255,0.039356923,0.041237178
성동구,사근동,0.00495302,0.035547988,0.040501008000000005
동작구,사당1동,0.003501779,0.030125773,0.033627552000000005
동작구,사당2동,0.004119617,0.032864628,0.036984245
동작구,사당3동,0.002781407,0.034785635,0.037567042
동작구,사당4동,0.006377778,0.03557428,0.041952058
동작구,사당5동,0.002505092,0.032385549,0.034890641
김포시,사우동,0.006241015,0.038736822,0.044977837
종로구,사직동,0.013015873,0.022290737,0.03530661
부평구,산곡1동,0.002439093,0.038807395,0.041246488
부평구,산곡2동,0.005442478,0.048015365,0.053457843
부평구,산곡3동,0.006188679,0.037314976,0.043503655
부평구,산곡4동,0.00645481,0.035659431,0.042114241
성남시 수정구,산성동,0.007809524,0.033931934,0.041741457999999995
용인시 처인구,삼가동,0.005371179,0.04037793,0.045749108999999996
강북구,삼각산동,0.005347826,0.038735866,0.044083692
부평구,삼산1동,0.005361538,0.037871452,0.04323299
부평구,삼산2동,0.005590909,0.047027748,0.052618657
강화군,삼산면,0.011181818,0.017527661,0.028709479
성북구,삼선동,0.004290698,0.033584521,0.037875219
강남구,삼성1동,0.004850704,0.034946772,0.039797476
강남구,삼성2동,0.003853012,0.043476818,0.04732983
관악구,삼성동,0.00288563,0.025492835,0.028378465
고양시 덕양구,삼송1동,0.003309417,0.042535529,0.045844946000000004
고양시 덕양구,삼송2동,0.00288684,0.043264069,0.046150909000000004
강북구,삼양동,0.006261818,0.028186336,0.034448154
송파구,삼전동,0.004969697,0.029187234,0.034156931
종로구,삼청동,0.014470588,0.020410795,0.034881383
성남시 분당구,삼평동,0.006591184,0.043317222,0.049908406
부천시 원미구,상1동,0.005970874,0.040660111,0.046630985
부천시 원미구,상2동,0.003739865,0.042476349,0.046216214
부천시 원미구,상3동,0.004698876,0.045060322,0.049759198
용인시 기흥구,상갈동,0.00603681,0.037659915,0.043696725000000006
노원구,상계10동,0.004436066,0.032197168,0.036633234
노원구,상계1동,0.005253769,0.030688614,0.035942383
노원구,상계2동,0.006267516,0.030323215,0.036590731
노원구,상계3.4동,0.004456522,0.029037042,0.033493563999999997
노원구,상계5동,0.007665722,0.027902292,0.035568013999999995
노원구,상계6.7동,0.005409424,0.030034767,0.035444191
노원구,상계8동,0.005120733,0.033704668,0.038825401
